Entity,Code_x,Capture fisheries production (metric tons),Population_2020
Afghanistan,AFG,2000.0,39068978
Albania,ALB,7627.16,2871951
Algeria,DZA,71518.72,44042093
American Samoa,ASM,871.17,49779
Andorra,AND,0.0,77398
Angola,AGO,375345.0,33451140
Antigua and Barbuda,ATG,3115.0,91864
Argentina,ARG,837589.5,45191960
Armenia,ARM,750.01,2890894
Aruba,ABW,160.0,107411
Australia,AUS,176602.56,25743787
Austria,AUT,350.0,8921402
Azerbaijan,AZE,2089.0,10181736
Bahamas,BHS,7433.16,395874
Bahrain,BHR,14414.0,1483081
Bangladesh,BGD,1919505.0,166298024
Barbados,BRB,1033.75,281705
Belarus,BLR,939.05,9350943
Belgium,BEL,19953.8,11540103
Belize,BLZ,186899.16,390819
Benin,BEN,73965.0,13070170
Bermuda,BMU,358.48,64405
Bhutan,BTN,15.0,770014
Bolivia,BOL,7500.0,11816300
Bosnia and Herz.,BIH,305.0,3299352
Botswana,BWA,33.0,2365895
Brazil,BRA,724605.94,208660845
British Virgin Islands,VGB,1121.0,37160
Brunei,BRN,13091.04,447412
Bulgaria,BGR,6295.8,6933654
Burkina Faso,BFA,29104.0,21478692
Burundi,BDI,19589.0,12617042
Cambodia,KHM,535900.0,16725482
Cameroon,CMR,281630.0,26210566
Canada,CAN,739691.4,38171901
Cape Verde,CPV,19485.25,514684
Cayman Islands,CYM,125.0,68701
Central African Rep.,CAF,27500.0,5026629
Chad,TCD,105000.0,17224685
Chile,CHL,2183235.2,19370619
China,CHN,13445983.0,1426106083
Colombia,COL,91924.46,50629997
Comoros,COM,20755.44,802172
Congo,COG,70637.35,5752791
Costa Rica,CRI,26679.37,5034323
Côte d'Ivoire,CIV,103116.38,28915452
Croatia,HRV,71637.7,3953957
Cuba,CUB,20186.2,11176349
Curacao,CUW,23051.82,185026
Cyprus,CYP,1327.27,1302250
Czechia,CZE,3729.0,10550130
Dem. Rep. Congo,COD,217750.0,95989999
Denmark,DNK,733000.5,5831530
Djibouti,DJI,2322.5,1105194
Dominica,DMA,527.0,67589
Dominican Republic,DOM,14064.13,11008297
East Timor,TLS,5174.0,1326051
Ecuador,ECU,636310.7,17546058
Egypt,EGY,418684.0,109315119
El Salvador,SLV,59674.39,6234680
Equatorial Guinea,GNQ,5958.28,1716479
Eritrea,ERI,5100.0,3291277
Estonia,EST,74142.44,1329674
eSwatini,SWZ,60.0,1192733
Ethiopia,ETH,60002.0,118917671
Fiji,FJI,37462.12,914970
Finland,FIN,140055.0,5529617
France,FRA,478162.62,65905273
French Polynesia,PYF,12180.01,279219
Gabon,GAB,28880.0,2322536
Gambia,GMB,50989.79,2515744
Georgia,GEO,207150.0,3795680
Germany,DEU,212094.56,83628711
Ghana,GHA,370969.16,31887801
Gibraltar,GIB,1.0,36197
Greece,GRC,71476.01,10699370
Greenland,GRL,259209.0,56105
Grenada,GRD,1913.89,116353
