Entity,Code,Year,Primary energy consumption per capita (kWh/person)
AFGHANISTAN,AFG,2020,702.888
AFRICA,,2020,3908.335
ALBANIA,ALB,2020,11158.003
ALGERIA,DZA,2020,14933.807
AMERICAN SAMOA,ASM,2020,29946.838
ANGOLA,AGO,2020,3527.16
ANTIGUA AND BARBUDA,ATG,2020,27785.227
ARGENTINA,ARG,2020,19314.059
ARMENIA,ARM,2020,17086.047
ARUBA,ABW,2020,43496.94
ASIA,,2020,18019.92
AUSTRALIA,AUS,2020,61750.023
AUSTRIA,AUT,2020,44920.742
AZERBAIJAN,AZE,2020,17980.494
BAHAMAS,BHS,2020,33301.77
BAHRAIN,BHR,2020,156095.8
BANGLADESH,BGD,2020,2731.3882
BARBADOS,BRB,2020,21577.828
BELARUS,BLR,2020,29743.822
BELGIUM,BEL,2020,57431.945
BELIZE,BLZ,2020,7226.4336
BENIN,BEN,2020,2518.621
BERMUDA,BMU,2020,46161.586
BHUTAN,BTN,2020,26593.059
BOLIVIA,BOL,2020,6540.533
BOSNIA AND HERZEGOVINA,BIH,2020,19464.836
BOTSWANA,BWA,2020,8843.107
BRAZIL,BRA,2020,15921.327
BRITISH VIRGIN ISLANDS,VGB,2020,19221.441
BRUNEI,BRN,2020,125303.02
BULGARIA,BGR,2020,27993.812
BURKINA FASO,BFA,2020,878.9815
BURUNDI,BDI,2020,289.06625
CAMBODIA,KHM,2020,3918.6375
CAMEROON,CMR,2020,1758.1206
CANADA,CAN,2020,100866.02
CAPE VERDE,CPV,2020,6949.681
CAYMAN ISLANDS,CYM,2020,41981.38
CENTRAL AFRICAN REPUBLIC,CAF,2020,280.73853
CHAD,TCD,2020,372.5109
CHILE,CHL,2020,22925.926
CHINA,CHN,2020,29119.828
COLOMBIA,COL,2020,10064.389
COMOROS,COM,2020,1578.0629
CONGO,COG,2020,2379.556
COOK ISLANDS,COK,2020,27636.979
COSTA RICA,CRI,2020,11486.324
COTE D'IVOIRE,CIV,2020,2282.348
CROATIA,HRV,2020,22304.447
CUBA,CUB,2020,9007.181
CYPRUS,CYP,2020,22852.852
CZECHIA,CZE,2020,42025.414
DEMOCRATIC REPUBLIC OF CONGO,COD,2020,443.81158
DENMARK,DNK,2020,30294.584
DJIBOUTI,DJI,2020,2701.7908
DOMINICA,DMA,2020,10056.246
DOMINICAN REPUBLIC,DOM,2020,9496.668
EAST TIMOR,TLS,2020,1589.7897
ECUADOR,ECU,2020,10396.6455
EGYPT,EGY,2020,9203.625
EL SALVADOR,SLV,2020,6715.608
EQUATORIAL GUINEA,GNQ,2020,11328.123
ERITREA,ERI,2020,881.5875
ESTONIA,EST,2020,44178.688
ESWATINI,SWZ,2020,5614.8906
ETHIOPIA,ETH,2020,860.0999
EUROPE,,2020,38172.617
EUROPEAN UNION (27),,2020,35627.586
FALKLAND ISLANDS,FLK,2020,46956.242
FAROE ISLANDS,FRO,2020,68466.914
FIJI,FJI,2020,9030.606
FINLAND,FIN,2020,56777.6
FRANCE,FRA,2020,37859.246
FRENCH GUIANA,GUF,2020,0.0
FRENCH POLYNESIA,PYF,2020,14898.559
GABON,GAB,2020,8367.068
GAMBIA,GMB,2020,905.3456
GEORGIA,GEO,2020,18696.85
GERMANY,DEU,2020,41328.74
GHANA,GHA,2020,3484.1567
GREECE,GRC,2020,26346.08
GREENLAND,GRL,2020,63375.285
GRENADA,GRD,2020,8918.377
GUADELOUPE,GLP,2020,0.0
GUAM,GUM,2020,42094.266
GUATEMALA,GTM,2020,5734.4775
GUINEA,GIN,2020,1356.6588
GUINEA-BISSAU,GNB,2020,656.3425
GUYANA,GUY,2020,13816.492
HAITI,HTI,2020,977.08136
HIGH-INCOME COUNTRIES,,2020,53926.57
HONDURAS,HND,2020,5048.4497
HONG KONG,HKG,2020,34378.316
HUNGARY,HUN,2020,27724.254
ICELAND,ISL,2020,158397.48
INDIA,IND,2020,6322.2974
INDONESIA,IDN,2020,7959.1304
IRAN,IRN,2020,38812.543
IRAQ,IRQ,2020,13437.566
IRELAND,IRL,2020,35598.938
ISRAEL,ISR,2020,32559.027
ITALY,ITA,2020,27763.803
JAMAICA,JAM,2020,12098.731
JAPAN,JPN,2020,38526.55
JORDAN,JOR,2020,9838.043
KAZAKHSTAN,KAZ,2020,38775.867
KENYA,KEN,2020,1902.1184
KIRIBATI,KIR,2020,2417.654
KOSOVO,OWID_KOS,2020,15964.659
KUWAIT,KWT,2020,91247.7
KYRGYZSTAN,KGZ,2020,10439.837
LAOS,LAO,2020,19671.4
