Entity,Code,Year,Primary energy consumption per capita (kWh/person)
Afghanistan,AFG,2020,702.888
Africa,,2020,3908.335
Albania,ALB,2020,11158.003
Algeria,DZA,2020,14933.807
American Samoa,ASM,2020,29946.838
Angola,AGO,2020,3527.16
Antigua and Barbuda,ATG,2020,27785.227
Argentina,ARG,2020,19314.059
Armenia,ARM,2020,17086.047
Aruba,ABW,2020,43496.94
Asia,,2020,18019.92
Australia,AUS,2020,61750.023
Austria,AUT,2020,44920.742
Azerbaijan,AZE,2020,17980.494
Bahamas,BHS,2020,33301.77
Bahrain,BHR,2020,156095.8
Bangladesh,BGD,2020,2731.3882
Barbados,BRB,2020,21577.828
Belarus,BLR,2020,29743.822
Belgium,BEL,2020,57431.945
Belize,BLZ,2020,7226.4336
Benin,BEN,2020,2518.621
Bermuda,BMU,2020,46161.586
Bhutan,BTN,2020,26593.059
Bolivia,BOL,2020,6540.533
Bosnia and Herzegovina,BIH,2020,19464.836
Botswana,BWA,2020,8843.107
Brazil,BRA,2020,15921.327
British Virgin Islands,VGB,2020,19221.441
Brunei,BRN,2020,125303.02
Bulgaria,BGR,2020,27993.812
Burkina Faso,BFA,2020,878.9815
Burundi,BDI,2020,289.06625
Cambodia,KHM,2020,3918.6375
Cameroon,CMR,2020,1758.1206
Canada,CAN,2020,100866.02
Cape Verde,CPV,2020,6949.681
Cayman Islands,CYM,2020,41981.38
Central African Republic,CAF,2020,280.73853
Chad,TCD,2020,372.5109
Chile,CHL,2020,22925.926
China,CHN,2020,29119.828
Colombia,COL,2020,10064.389
Comoros,COM,2020,1578.0629
Congo,COG,2020,2379.556
Cook Islands,COK,2020,27636.979
Costa Rica,CRI,2020,11486.324
Cote d'Ivoire,CIV,2020,2282.348
Croatia,HRV,2020,22304.447
Cuba,CUB,2020,9007.181
Cyprus,CYP,2020,22852.852
Czechia,CZE,2020,42025.414
Democratic Republic of Congo,COD,2020,443.81158
Denmark,DNK,2020,30294.584
Djibouti,DJI,2020,2701.7908
Dominica,DMA,2020,10056.246
Dominican Republic,DOM,2020,9496.668
East Timor,TLS,2020,1589.7897
Ecuador,ECU,2020,10396.6455
Egypt,EGY,2020,9203.625
El Salvador,SLV,2020,6715.608
Equatorial Guinea,GNQ,2020,11328.123
Eritrea,ERI,2020,881.5875
Estonia,EST,2020,44178.688
Eswatini,SWZ,2020,5614.8906
Ethiopia,ETH,2020,860.0999
Europe,,2020,38172.617
European Union (27),,2020,35627.586
Falkland Islands,FLK,2020,46956.242
Faroe Islands,FRO,2020,68466.914
Fiji,FJI,2020,9030.606
Finland,FIN,2020,56777.6
France,FRA,2020,37859.246
French Guiana,GUF,2020,0.0
French Polynesia,PYF,2020,14898.559
Gabon,GAB,2020,8367.068
Gambia,GMB,2020,905.3456
Georgia,GEO,2020,18696.85
Germany,DEU,2020,41328.74
Ghana,GHA,2020,3484.1567
Greece,GRC,2020,26346.08
Greenland,GRL,2020,63375.285
Grenada,GRD,2020,8918.377
Guadeloupe,GLP,2020,0.0
Guam,GUM,2020,42094.266
Guatemala,GTM,2020,5734.4775
Guinea,GIN,2020,1356.6588
Guinea-Bissau,GNB,2020,656.3425
Guyana,GUY,2020,13816.492
Haiti,HTI,2020,977.08136
High-income countries,,2020,53926.57
Honduras,HND,2020,5048.4497
Hong Kong,HKG,2020,34378.316
Hungary,HUN,2020,27724.254
Iceland,ISL,2020,158397.48
India,IND,2020,6322.2974
Indonesia,IDN,2020,7959.1304
Iran,IRN,2020,38812.543
Iraq,IRQ,2020,13437.566
Ireland,IRL,2020,35598.938
Israel,ISR,2020,32559.027
Italy,ITA,2020,27763.803
Jamaica,JAM,2020,12098.731
Japan,JPN,2020,38526.55
Jordan,JOR,2020,9838.043
Kazakhstan,KAZ,2020,38775.867
Kenya,KEN,2020,1902.1184
Kiribati,KIR,2020,2417.654
Kosovo,OWID_KOS,2020,15964.659
Kuwait,KWT,2020,91247.7
Kyrgyzstan,KGZ,2020,10439.837
Laos,LAO,2020,19671.4
Latvia,LVA,2020,21537.639
Lebanon,LBN,2020,18341.434
Lesotho,LSO,2020,2092.5305
Liberia,LBR,2020,1030.0463
Libya,LBY,2020,28032.594
Lithuania,LTU,2020,24924.742
Low-income countries,,2020,1230.7802
Lower-middle-income countries,,2020,5583.2485
Luxembourg,LUX,2020,64309.535
Macao,MAC,2020,20649.154
Madagascar,MDG,2020,447.50406
Malawi,MWI,2020,503.25735
Malaysia,MYS,2020,36037.035
Maldives,MDV,2020,17308.588
Mali,MLI,2020,1142.8834
